Title,DOI,Dataset Mention
Fine-grain atlases of functional modes for fMRI analysis,10.1016/j.neuroimage.2020.117126,ds000220
Idiopathic and acquired pedophilia as two distinct disorders: an insight from neuroimaging,10.1007/s11682-020-00442-z,ds000221
Intact microstructure of the right corticostriatal pathway predicts creative ability in healthy adults,10.1002/brb3.1895,ds000221
Mapping internal brainstem structures using MP2RAGE derived T1 weighted and T1 relaxation images at 3 and 7 T,10.1002/hbm.24938,ds000221
Prediction of stimulus-independent and task-unrelated thought from functional brain networks,10.1038/s41467-021-22027-0,ds000221
Quantity and quality: Normative open-access neuroimaging databases,10.1371/journal.pone.0248341,ds000221
Brainglance: visualizing group level MRI data at one glance,10.3389/fnins.2019.00972,ds000224
Diving into the deep end: A personal reflection on the MyConnectome Study,10.1016/j.cobeha.2020.10.008,ds000224
Edge-centric functional network representations of human cerebral cortex reveal overlapping system-level architecture,10.1038/s41593-020-00719-y,ds000224
Functional connectivity fingerprints at rest are similar across youths and adults and vary with genetic similarity,10.1016/j.isci.2019.100801,ds000224
Hierarchical dynamics as a macroscopic organizing principle of the human brain,10.1073/pnas.2003383117,ds000224
High-amplitude cofluctuations in cortical activity drive functional connectivity,10.1073/pnas.2005531117,ds000224
Impact of concatenating fMRI data on reliability for functional connectomics,10.1016/j.neuroimage.2020.117549,ds000224
Individualized event structure drives individual differences in whole-brain functional connectivity,10.1101/2021.03.12.435168,ds000224
Precision functional mapping of human memory systems,10.1016/j.cobeha.2020.12.013,ds000224
Probabilistic mapping of human functional brain networks identifies regions of high group consensus,10.1016/j.neuroimage.2021.118164,ds000224
Quantifying control circuit regulation in the human brain.,10.1101/2021.03.30.437729,ds000224
Quantity and quality: Normative open-access neuroimaging databases,10.1371/journal.pone.0248341,ds000224
Rapid Precision Functional Mapping of Individuals using Multi-Echo fMRI,10.1016/j.celrep.2020.108540,ds000224
The effect of global signal regression on DCM estimates of noise and effective connectivity from resting state fMRI,10.1016/j.neuroimage.2019.116435,ds000224
The profiles of non-stationarity and non-linearity in the time series of resting-state brain networks,10.3389/fnins.2020.00493,ds000224
There is no single functional atlas even for a single individual: Functional parcel definitions change with task,10.1016/j.neuroimage.2019.116366,ds000224
Time‐varying nodal measures with temporal community structure: A cautionary note to avoid misinterpretation,10.1002/hbm.24950,ds000224
Topographic gradients of intrinsic dynamics across neocortex,10.7554/eLife.62116,ds000224
Common functional networks in the mouse brain revealed by multi-centre resting-state fMRI analysis,10.1016/j.neuroimage.2019.116278,ds000228
Conditional independence testing via weighted partial copulas,arXiv:2006.12839,ds000228
Emergence and organization of adult brain function throughout child development,10.1016/j.neuroimage.2020.117606,ds000228
Intersubject consistent dynamic connectivity during natural vision revealed by functional MRI,10.1016/j.neuroimage.2020.116698,ds000228
Modelling of Transcranial Magnetic Stimulation (TMS) Induced Fields in Different Age Groups,10.1007/978-3-030-65092-6_8,ds000228
Nature abhors a paywall: How open science can realize the potential of naturalistic stimuli,10.1016/j.neuroimage.2019.116330,ds000228
Principal component analysis revealed multiple consistent responses to naturalistic stimuli in children and adults,10.1101/2020.05.01.073163,ds000228
"Spatial and temporal joint, partially-joint and individual sources in independent component analysis: Application to social brain fMRI dataset",10.1016/j.jneumeth.2019.108453,ds000228
The Euler Characteristic: A General Topological Descriptor for Complex Data,arXiv:2103.03144,ds000228
Uncovering the topology of time-varying fmri data using cubical persistence,n/a,ds000228
Does rs-fMRI preprocessing matter for prediction performance in machine learning?,n/a,ds000228
Nature abhors a paywall: How open science can realize the potential of naturalistic stimuli,10.1016/j.neuroimage.2019.116330,ds000233
The identification of temporal communities through trajectory clustering correlates with single-trial behavioural fluctuations in neuroimaging data,10.1101/617027,ds000235
ASLPrep: A Generalizable Platform for Processing of Arterial Spin Labeled MRI and Quantification of Regional Brain Perfusion,10.1101/2021.05.20.444998,ds000240
Probabilistic mapping of human functional brain networks identifies regions of high group consensus,10.1016/j.neuroimage.2021.118164,ds000243
An International Multicenter Analysis of Brain Structure across Clinical Stages of Parkinson's Disease: The ENIGMA-Parkinson's Study,10.1101/2020.04.28.20072710,ds000245
Identifying and removing widespread signal deflections from fMRI data: Rethinking the global signal regression problem,10.1016/j.neuroimage.2020.116614,ds000258
Sailing in rough waters: examining volatility of fMRI noise,10.1016/j.mri.2021.02.009,ds000258
Nature abhors a paywall: How open science can realize the potential of naturalistic stimuli,10.1016/j.neuroimage.2019.116330,ds001110
Nature abhors a paywall: How open science can realize the potential of naturalistic stimuli,10.1016/j.neuroimage.2019.116330,ds001131
Nature abhors a paywall: How open science can realize the potential of naturalistic stimuli,10.1016/j.neuroimage.2019.116330,ds001132
Nature abhors a paywall: How open science can realize the potential of naturalistic stimuli,10.1016/j.neuroimage.2019.116330,ds001145
Inter-group Heterogeneity of Regional Homogeneity (REHO),n/a,ds001168
"Distinct regions of the striatum underlying effort, movement initiation and effort discounting",10.1038/s41562-020-00972-y,ds001168
Quantifying structural connectivity in brain tumor patients,10.1101/2021.03.19.21253837,ds001226
Corpus callosal microstructure predicts bimanual motor performance in chronic stroke survivors,10.1101/2021.05.14.443663,ds001242
Performance Optimization is Insufficient for Building Accurate Models for Neural Representation,10.32470/CCN.2018.1148-0,ds001246
Reconstructing natural scenes from fMRI patterns using BigBiGAN,10.1109/IJCNN48605.2020.9206960,ds001246
Removing independent noise in systems neuroscience data using DeepInterpolation,10.1101/2020.10.15.341602,ds001246
Using distance on the Riemannian manifold to compare representations in brain and models,10.1101/2020.11.25.398511,ds001246
Nature abhors a paywall: How open science can realize the potential of naturalistic stimuli,10.1016/j.neuroimage.2019.116330,ds001338
Neural signatures of attentional engagement during narratives and its consequences for event memory,10.1101/2020.08.26.266320,ds001338
APPIAN: automated pipeline for PET image analysis,10.3389/fninf.2018.00064,ds001421
Clinical brain PET research must embrace multi-centre collaboration and data sharing or risk its demise,10.1007/s00259-019-04541-y,ds001421
How do we generalize?,arXiv:2104.00899,ds001454
The Connectivity Fingerprints of Highly-Skilled and Disordered Reading Persist Across Cognitive Domains,10.3389/fncom.2021.590093,ds001486
A Comparative Assessment of Statistical Approaches for fMRI Data to Obtain Activation Maps,n/a,ds001499
"Brain Image Analysis, Classification and Reconstruction",10.21608/fcihib.2020.116966,ds001506
Nature abhors a paywall: How open science can realize the potential of naturalistic stimuli,10.1016/j.neuroimage.2019.116330,ds001510
Automatic skull stripping of rat and mouse brain MRI data using U-net,10.3389/fnins.2020.568614,ds001541
Custom-molded headcases have limited efficacy in reducing head motion during naturalistic fMRI experiments,10.1016/j.neuroimage.2020.117207,ds001544
Nature abhors a paywall: How open science can realize the potential of naturalistic stimuli,10.1016/j.neuroimage.2019.116330,ds001545
Automatic skull stripping of rat and mouse brain MRI data using U-net,10.3389/fnins.2020.568614,ds001720
"Data sharing and privacy issues in neuroimaging research: Opportunities, obstacles, challenges, and monsters under the bed",10.1002/hbm.25120,ds001734
Subjective value and decision entropy are jointly encoded by aligned gradients across the human brain,10.1038/s42003-020-01315-3,ds001734
The neural link between subjective value and decision entropy,10.1038/s42003-020-01315-3,ds001734
Distortion correction of diffusion weighted MRI without reverse phase-encoding scans or field-maps,10.1371/journal.pone.0236418,ds001743
Inter-group Heterogeneity of Regional Homogeneity (REHO),n/a,ds001771
Interpretation of Human Behavior from Multi-modal Brain MRI Images based on Graph Deep Neural Networks and Attention Mechanism,10.5220/0010214400560066,ds001771
"Divergent Connectional Asymmetries of the Inferior Parietal Lobule Shape Hemispheric Specialization in Humans, Chimpanzees, and Macaque Monkeys",10.1101/2021.01.26.428189,ds001875
The Connectivity Fingerprints of Highly-Skilled and Disordered Reading Persist Across Cognitive Domains,10.3389/fncom.2021.590093,ds001894
Transcriptional and cellular signatures of cortical morphometric similarity remodelling in chronic pain,10.1101/2021.03.24.436777,ds001928
Atlas-based brain extraction is robust across rat MRI studies,10.1109/ISBI48211.2021.9433884,ds001981
Automatic skull stripping of rat and mouse brain MRI data using U-net,10.3389/fnins.2020.568614,ds001981
A ventromedial prefrontal dysrhythmia in obsessive-compulsive disorder is attenuated by nucleus accumbens deep brain stimulation,10.1016/j.brs.2021.04.028,ds002179
Nature abhors a paywall: How open science can realize the potential of naturalistic stimuli,10.1016/j.neuroimage.2019.116330,ds002245
Brain regions and networks supporting working memory and selective attention processing in typically developing and extremely preterm-born children,10138/319865,ds002320
ReUINet: A fast GNL distortion correction approach on a 1.0 T MRI‐Linac scanner,10.1002/mp.14861,ds002330
"An fMRI dataset in response to “The Grand Budapest Hotel”, a socially-rich, naturalistic movie",10.1038/s41597-020-00735-4,ds002345
Constructing and forgetting temporal context in the human cerebral cortex,10.1016/j.neuron.2020.02.013,ds002345
Narratives for neuroscience,10.1016/j.tins.2020.03.003,ds002345
Putting psychology to the test: Rethinking model evaluation through benchmarking and prediction,10.31234/osf.io/e437b,ds002345
On Tensor Distances For Self Organizing Maps: Clustering Cognitive Tasks,10.1007/978-3-030-59051-2,ds002366
An edge-centric model for harmonizing multi-relational network datasets,10.1101/2021.01.07.425450,ds002372
"Functional connectivity predicts changes in attention observed across minutes, days, and months",10.1073/pnas.1912226117,ds002372
On Hippocampus Associative Modeling by Approximating Nonlinear Kullback-Leibler Sparsity Constraint,10.1109/ICCCI50826.2021.9402467,ds002422
A preliminary study of gray matter volume differences related to context-dependent and independent decision-making,10.31234/osf.io/k6jpx,ds002422
Extracting Nonlinear Dynamics from Psychological and Behavioral Time Series Through HAVOK Analysis,10.31234/osf.io/d4c3f,ds002680
NeuriViz (Part 1)-Performant Graphics for Neuroinformatics,n/a,ds002680
ElectroEncephaloGraphy robust linear modelling using weights reflecting single trials' dynamics,10.1101/2021.04.27.441629,ds002718
From BIDS-formatted EEG data to sensor-space group results: a fully reproducible workflow with EEGLAB and LIMO EEG,10.3389/fnins.2020.610388,ds002718
Robust linear modelling in ElectroEncephaloGraphy can be obtained using single weights reflecting each single trials' dynamics,10.1101/2021.04.27.441629,ds002718
Generalizable brain network markers of major depressive disorder across multiple imaging sites,10.1371/journal.pbio.3000966,ds002748
Rapid Precision Functional Mapping of Individuals using Multi-Echo fMRI,10.1016/j.celrep.2020.108540,ds002766
Inter-group Heterogeneity of Regional Homogeneity (REHO),n/a,ds002785
Inter-group Heterogeneity of Regional Homogeneity (REHO),n/a,ds002790
Intracranial brain stimulation modulates fMRI-based network switching,10.1016/j.nbd.2021.105401,ds002799
Atlas-based brain extraction is robust across rat MRI studies,10.1109/ISBI48211.2021.9433884,ds002870
Deep learning based segmentation of brain tissue from diffusion MRI,10.1016/j.neuroimage.2021.117934,ds003037
Toward more robust and reproducible diffusion kurtosis imaging,10.1002/mrm.28730,ds003346
Thinking out loud: an open-access EEG-based BCI dataset for inner speech recognition,10.1101/2021.04.19.440473,ds003626
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000052
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000101
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000102
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000105
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000107
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000108
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000109
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000110
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000114
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000115
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000116
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000119
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000120
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000121
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000133
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000140
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000148
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000157
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000164
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000168
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000170
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000171
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000177
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000200
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000205
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000208
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000212
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000213
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000214
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000216
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000218
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000219
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000220
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000221
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000228
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000229
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000231
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000233
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000237
fMRIPrep: a robust preprocessing pipeline for functional MRI,10.5281/zenodo.1340696,ds000243